"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"KOPRIVNIČKO-KRIŽEVAČKA","VIII","Dolasci",733,1485,470,936,565,1085
"KOPRIVNIČKO-KRIŽEVAČKA","VIII","Noćenja",1473,4197,1017,1719,1354,3961
"KOPRIVNIČKO-KRIŽEVAČKA","IX","Dolasci",978,904,1040,931,1092,1458
"KOPRIVNIČKO-KRIŽEVAČKA","IX","Noćenja",2300,1482,1577,1465,2440,2227
"KOPRIVNIČKO-KRIŽEVAČKA","X","Dolasci",1040,690,1089,462,1082,456
"KOPRIVNIČKO-KRIŽEVAČKA","X","Noćenja",1877,1213,1986,1123,2065,1166
"KOPRIVNIČKO-KRIŽEVAČKA","XI","Dolasci",1186,575,1001,425,901,382
"KOPRIVNIČKO-KRIŽEVAČKA","XI","Noćenja",2339,1217,1778,1074,1673,761
"KOPRIVNIČKO-KRIŽEVAČKA","XII","Dolasci",1327,427,1407,314,1176,454
"KOPRIVNIČKO-KRIŽEVAČKA","XII","Noćenja",2406,886,2370,666,2008,870
"BJELOVARSKO-BILOGORSKA","I","Dolasci",1059,364,1113,472,1328,441
"BJELOVARSKO-BILOGORSKA","I","Noćenja",4329,851,3526,1518,4198,1449
"BJELOVARSKO-BILOGORSKA","II","Dolasci",1250,334,1029,421,1048,536
"BJELOVARSKO-BILOGORSKA","II","Noćenja",4038,821,3756,1097,3916,1709
"BJELOVARSKO-BILOGORSKA","III","Dolasci",1128,357,1244,492,1323,407
"BJELOVARSKO-BILOGORSKA","III","Noćenja",4267,841,3776,1249,4528,1256
"BJELOVARSKO-BILOGORSKA","IV","Dolasci",1480,443,1162,484,1607,665
"BJELOVARSKO-BILOGORSKA","IV","Noćenja",4813,965,4017,1148,5145,1690
"BJELOVARSKO-BILOGORSKA","V","Dolasci",1058,546,1181,605,1231,646
"BJELOVARSKO-BILOGORSKA","V","Noćenja",3840,1252,3988,1400,4289,1481
"BJELOVARSKO-BILOGORSKA","VI","Dolasci",1072,413,1293,726,1314,794
"BJELOVARSKO-BILOGORSKA","VI","Noćenja",3455,1001,4093,1468,4181,1902
"BJELOVARSKO-BILOGORSKA","VII","Dolasci",1209,660,1120,775,1414,779
"BJELOVARSKO-BILOGORSKA","VII","Noćenja",4727,1493,4478,1872,5750,2079
"BJELOVARSKO-BILOGORSKA","VIII","Dolasci",1090,722,1199,862,1364,1030
"BJELOVARSKO-BILOGORSKA","VIII","Noćenja",4328,1887,4823,2294,4516,2970
"BJELOVARSKO-BILOGORSKA","IX","Dolasci",1365,764,1610,910,1528,932
"BJELOVARSKO-BILOGORSKA","IX","Noćenja",5036,1955,5015,2172,5047,2471
"BJELOVARSKO-BILOGORSKA","X","Dolasci",1375,578,1332,644,1520,763
"BJELOVARSKO-BILOGORSKA","X","Noćenja",4989,1742,4898,1528,4961,2207
"BJELOVARSKO-BILOGORSKA","XI","Dolasci",1078,570,1206,717,1413,751
"BJELOVARSKO-BILOGORSKA","XI","Noćenja",4412,1470,3995,2104,5318,2278
"BJELOVARSKO-BILOGORSKA","XII","Dolasci",1182,393,1470,489,1434,562
"BJELOVARSKO-BILOGORSKA","XII","Noćenja",4009,1145,4398,1143,4809,1674
"PRIMORSKO-GORANSKA","I","Dolasci",10480,9533,10771,10717,10872,11109
"PRIMORSKO-GORANSKA","I","Noćenja",33480,29839,28954,37589,27634,33745
"PRIMORSKO-GORANSKA","II","Dolasci",13257,15373,14171,14179,12088,14532
"PRIMORSKO-GORANSKA","II","Noćenja",32878,34248,31604,34304,25507,33028
"PRIMORSKO-GORANSKA","III","Dolasci",14744,35285,15803,34210,17038,39830
"PRIMORSKO-GORANSKA","III","Noćenja",39009,94652,35241,86262,38163,98208
"PRIMORSKO-GORANSKA","IV","Dolasci",20210,83662,23393,116805,26842,120550
"PRIMORSKO-GORANSKA","IV","Noćenja",46728,233208,59226,355595,64226,345313
"PRIMORSKO-GORANSKA","V","Dolasci",29933,159069,31814,144578,34564,210877
"PRIMORSKO-GORANSKA","V","Noćenja",81506,596571,80064,523984,82456,823601
"PRIMORSKO-GORANSKA","VI","Dolasci",37754,283743,45787,383068,49126,375119
"PRIMORSKO-GORANSKA","VI","Noćenja",142672,1444862,165114,1980103,177837,1848965
"PRIMORSKO-GORANSKA","VII","Dolasci",52373,629795,52401,680527,50482,659253
"PRIMORSKO-GORANSKA","VII","Noćenja",281265,3906651,273604,4223808,270124,4281045
"PRIMORSKO-GORANSKA","VIII","Dolasci",50816,656662,48614,676038,51993,687116
"PRIMORSKO-GORANSKA","VIII","Noćenja",304982,4381576,290089,4551369,302268,4531845
"PRIMORSKO-GORANSKA","IX","Dolasci",25637,281528,24072,266929,27280,305382
"PRIMORSKO-GORANSKA","IX","Noćenja",95674,1581148,83123,1500723,92879,1599621
"PRIMORSKO-GORANSKA","X","Dolasci",20748,90582,22558,96300,23212,100559
"PRIMORSKO-GORANSKA","X","Noćenja",53082,293649,51942,314290,52858,346044
"PRIMORSKO-GORANSKA","XI","Dolasci",14960,25246,13808,24004,15866,24906
"PRIMORSKO-GORANSKA","XI","Noćenja",33734,64014,30105,62933,35095,66807
"PRIMORSKO-GORANSKA","XII","Dolasci",13256,23791,13742,24890,13680,27638
"PRIMORSKO-GORANSKA","XII","Noćenja",30992,66148,28976,68441,29692,77385
"LIČKO-SENJSKA","I","Dolasci",920,2444,1398,3653,1262,4669
"LIČKO-SENJSKA","I","Noćenja",2577,2908,3159,4190,3248,5293
"LIČKO-SENJSKA","II","Dolasci",844,2637,778,3494,1091,4038
"LIČKO-SENJSKA","II","Noćenja",2074,3259,1677,4059,2012,4707
"LIČKO-SENJSKA","III","Dolasci",1151,7980,1317,9406,1589,11293
"LIČKO-SENJSKA","III","Noćenja",2407,10171,2014,10779,2520,13577
"LIČKO-SENJSKA","IV","Dolasci",2577,18610,2325,30641,2649,30995
"LIČKO-SENJSKA","IV","Noćenja",4675,28576,4230,49244,4753,47114
"LIČKO-SENJSKA","V","Dolasci",4033,42437,3237,49236,4758,64779
"LIČKO-SENJSKA","V","Noćenja",9024,94892,6069,94069,9078,132777
"LIČKO-SENJSKA","VI","Dolasci",4748,74052,6292,103431,5970,105373
"LIČKO-SENJSKA","VI","Noćenja",13892,263322,18755,363019,17095,361816
"LIČKO-SENJSKA","VII","Dolasci",6991,161635,7455,188964,7355,192910
"LIČKO-SENJSKA","VII","Noćenja",32190,717539,34070,823286,34290,856639
"LIČKO-SENJSKA","VIII","Dolasci",6119,173423,6765,190773,7307,201114
"LIČKO-SENJSKA","VIII","Noćenja",32226,833375,35097,894913,36309,905451
"LIČKO-SENJSKA","IX","Dolasci",3231,64159,3496,72375,3650,79582
"LIČKO-SENJSKA","IX","Noćenja",7785,201789,8796,217792,9086,220380
"LIČKO-SENJSKA","X","Dolasci",2845,26005,2216,32820,3307,37080
"LIČKO-SENJSKA","X","Noćenja",4676,37079,3548,46985,5512,52877
"LIČKO-SENJSKA","XI","Dolasci",1257,7471,1200,8767,1514,9871
"LIČKO-SENJSKA","XI","Noćenja",2008,8781,2201,10823,2564,12488
"LIČKO-SENJSKA","XII","Dolasci",1216,4344,1620,4625,1966,5208
"LIČKO-SENJSKA","XII","Noćenja",2269,5259,2900,5350,3352,6292
"VIROVITIČKO-PODRAVSKA","I","Dolasci",346,181,365,221,589,295
"VIROVITIČKO-PODRAVSKA","I","Noćenja",977,447,647,448,1391,748
"VIROVITIČKO-PODRAVSKA","II","Dolasci",411,277,518,293,827,398
"VIROVITIČKO-PODRAVSKA","II","Noćenja",789,671,992,560,1888,1060
"VIROVITIČKO-PODRAVSKA","III","Dolasci",613,173,481,222,917,220
"VIROVITIČKO-PODRAVSKA","III","Noćenja",1260,441,807,613,3322,754
"VIROVITIČKO-PODRAVSKA","IV","Dolasci",929,217,533,248,1343,413
"VIROVITIČKO-PODRAVSKA","IV","Noćenja",2768,479,1016,689,3366,1030
"VIROVITIČKO-PODRAVSKA","V","Dolasci",1210,389,1123,328,1580,398
"VIROVITIČKO-PODRAVSKA","V","Noćenja",2893,868,3323,635,4379,972
"VIROVITIČKO-PODRAVSKA","VI","Dolasci",809,276,1174,455,1611,605
"VIROVITIČKO-PODRAVSKA","VI","Noćenja",1624,681,2719,971,3965,1127
"VIROVITIČKO-PODRAVSKA","VII","Dolasci",780,301,1012,377,996,512
"VIROVITIČKO-PODRAVSKA","VII","Noćenja",2246,933,3166,929,3207,1409
"VIROVITIČKO-PODRAVSKA","VIII","Dolasci",945,484,1065,603,964,795
"VIROVITIČKO-PODRAVSKA","VIII","Noćenja",2976,1178,3326,1284,3042,1930
"VIROVITIČKO-PODRAVSKA","IX","Dolasci",975,400,1189,447,1159,487
"VIROVITIČKO-PODRAVSKA","IX","Noćenja",2626,877,2767,1034,2760,1315
"VIROVITIČKO-PODRAVSKA","X","Dolasci",915,320,1063,368,1315,318
"VIROVITIČKO-PODRAVSKA","X","Noćenja",1985,677,2531,727,2389,797
"VIROVITIČKO-PODRAVSKA","XI","Dolasci",647,390,686,383,955,404
"VIROVITIČKO-PODRAVSKA","XI","Noćenja",1075,849,1159,965,2084,1108
"VIROVITIČKO-PODRAVSKA","XII","Dolasci",536,265,637,393,603,319
"VIROVITIČKO-PODRAVSKA","XII","Noćenja",893,627,1162,983,1439,817
"POŽEŠKO-SLAVONSKA","I","Dolasci",926,166,834,173,1010,174
"POŽEŠKO-SLAVONSKA","I","Noćenja",1968,426,1944,562,2328,365
"POŽEŠKO-SLAVONSKA","II","Dolasci",639,109,514,148,459,138
"POŽEŠKO-SLAVONSKA","II","Noćenja",1683,243,1167,361,1099,393
"POŽEŠKO-SLAVONSKA","III","Dolasci",661,135,970,172,944,235
"POŽEŠKO-SLAVONSKA","III","Noćenja",1479,275,1912,489,1786,377
"POŽEŠKO-SLAVONSKA","IV","Dolasci",818,231,679,355,856,375
"POŽEŠKO-SLAVONSKA","IV","Noćenja",1376,461,1441,930,2199,745
"POŽEŠKO-SLAVONSKA","V","Dolasci",925,254,818,360,903,562
"POŽEŠKO-SLAVONSKA","V","Noćenja",1918,576,1535,628,1894,1208
"POŽEŠKO-SLAVONSKA","VI","Dolasci",758,320,912,347,812,429
"POŽEŠKO-SLAVONSKA","VI","Noćenja",2072,530,2143,734,2050,1125
"POŽEŠKO-SLAVONSKA","VII","Dolasci",442,273,609,454,654,484
"POŽEŠKO-SLAVONSKA","VII","Noćenja",1090,544,1738,1378,2202,1455
"POŽEŠKO-SLAVONSKA","VIII","Dolasci",521,331,713,468,777,737
"POŽEŠKO-SLAVONSKA","VIII","Noćenja",1621,920,1925,1159,1946,2119
"POŽEŠKO-SLAVONSKA","IX","Dolasci",765,357,933,404,1313,672
"POŽEŠKO-SLAVONSKA","IX","Noćenja",1720,671,2199,850,2540,1477
"POŽEŠKO-SLAVONSKA","X","Dolasci",778,321,952,300,1269,451
"POŽEŠKO-SLAVONSKA","X","Noćenja",1661,686,2090,554,2238,1093
"POŽEŠKO-SLAVONSKA","XI","Dolasci",879,293,1155,281,1486,443
"POŽEŠKO-SLAVONSKA","XI","Noćenja",1674,612,2454,607,2405,873
"POŽEŠKO-SLAVONSKA","XII","Dolasci",614,138,568,165,782,287
"POŽEŠKO-SLAVONSKA","XII","Noćenja",1320,391,1396,415,1492,725
"BRODSKO-POSAVSKA","I","Dolasci",846,976,624,750,764,861
"BRODSKO-POSAVSKA","I","Noćenja",1710,2022,1143,1322,1381,1511
"BRODSKO-POSAVSKA","II","Dolasci",1009,778,672,650,728,690
"BRODSKO-POSAVSKA","II","Noćenja",2192,1631,1122,1046,1136,1435
"BRODSKO-POSAVSKA","III","Dolasci",841,924,903,853,838,956
"BRODSKO-POSAVSKA","III","Noćenja",1982,1878,1615,2130,1557,2086
"BRODSKO-POSAVSKA","IV","Dolasci",906,872,1295,1333,1242,1106
"BRODSKO-POSAVSKA","IV","Noćenja",1609,1600,2341,2301,2227,1738
"BRODSKO-POSAVSKA","V","Dolasci",949,1085,944,1303,958,1884
"BRODSKO-POSAVSKA","V","Noćenja",1407,1644,1719,2243,1620,2862
"BRODSKO-POSAVSKA","VI","Dolasci",783,1353,938,1403,1044,2092
"BRODSKO-POSAVSKA","VI","Noćenja",1529,2378,2011,2270,1757,2963
"BRODSKO-POSAVSKA","VII","Dolasci",679,2444,861,2854,856,3488
"BRODSKO-POSAVSKA","VII","Noćenja",1355,3505,2369,4206,1889,4526
"BRODSKO-POSAVSKA","VIII","Dolasci",789,2410,818,3019,1009,4541
"BRODSKO-POSAVSKA","VIII","Noćenja",1527,3454,1885,5036,2196,5743
"BRODSKO-POSAVSKA","IX","Dolasci",1044,1620,1102,1642,1087,2396
"BRODSKO-POSAVSKA","IX","Noćenja",1694,2300,2023,2605,2114,3501
"BRODSKO-POSAVSKA","X","Dolasci",1015,1032,1240,1236,1399,1723
"BRODSKO-POSAVSKA","X","Noćenja",1911,1579,2185,2017,2223,3242
"BRODSKO-POSAVSKA","XI","Dolasci",1350,891,1227,1124,1624,1078
"BRODSKO-POSAVSKA","XI","Noćenja",2139,1563,2285,1817,2797,2036
"BRODSKO-POSAVSKA","XII","Dolasci",1057,916,984,839,987,1149
"BRODSKO-POSAVSKA","XII","Noćenja",2081,1341,1710,1390,1520,1715
"ZADARSKA","I","Dolasci",2447,2656,2829,4178,2693,4956
"ZADARSKA","I","Noćenja",5520,5919,7162,9962,5164,10159
"ZADARSKA","II","Dolasci",2780,3849,3719,3967,3798,5162
"ZADARSKA","II","Noćenja",5676,7386,8416,9019,7148,9703
"ZADARSKA","III","Dolasci",3670,9318,5722,11123,6305,17774
"ZADARSKA","III","Noćenja",9179,22191,11090,22030,11086,35719
"ZADARSKA","IV","Dolasci",6829,29982,9009,46789,10357,49749
"ZADARSKA","IV","Noćenja",13677,76656,22097,133356,22939,122849
"ZADARSKA","V","Dolasci",12150,69102,15454,72323,16098,97705
"ZADARSKA","V","Noćenja",31599,256853,37044,235563,34683,377501
"ZADARSKA","VI","Dolasci",19109,143118,24044,192424,30789,205828
